dur,service,spkts,dpkts,dbytes,sttl,sload,dload,sloss,dloss,stcpb,dtcpb,synack,smean,dmean,ct_srv_src,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
1e-05,0,2,0,0,254,425600000.0,0.0,0,0,0,0,0.0,532,0,2,2,0,0,0,1,2,0,0
0.001764,0,4,4,304,31,1741496.5,1034013.563,0,0,0,0,0.0,128,76,7,4,0,0,0,5,12,0,0
8e-06,2,2,0,0,254,57000000.0,0.0,0,0,0,0,0.0,57,0,23,23,0,0,0,23,23,0,1
0.539447,0,12,26,29462,62,10751.75098,420119.125,2,11,2085586880,2746068499,0.018104,66,1133,2,1,0,0,0,1,1,0,1
3e-06,2,2,0,0,254,152000000.0,0.0,0,0,0,0,0.0,57,0,36,36,0,0,0,24,36,0,1
8e-06,2,2,0,0,254,57000000.0,0.0,0,0,0,0,0.0,57,0,3,3,0,0,0,3,3,0,1
1.707526,5,10,10,1152,62,3359.246094,4858.491211,2,2,3272392314,3847749593,0.130904,80,115,4,2,0,0,1,1,2,0,0
0.576634,0,10,10,646,254,7602.743164,8074.445801,2,3,2437796688,930019637,0.044717,61,65,1,1,0,0,0,1,1,0,0
3.286602,0,142,38,2650,62,396630.9375,6282.476562,68,8,802879089,514314061,0.102363,1156,70,1,1,0,0,0,1,1,0,1
9e-06,0,2,0,0,254,46222220.0,0.0,0,0,0,0,0.0,52,0,1,1,0,0,0,1,1,0,0
1.1e-05,2,2,0,0,254,41454544.0,0.0,0,0,0,0,0.0,57,0,12,5,0,0,0,5,12,0,1
0.022926,0,60,62,46036,31,1234929.75,15805286.0,7,24,2702628575,557617175,0.000693,60,743,3,1,0,0,0,3,5,0,0
0.853072,0,6,2,86,62,7802.389648,403.248505,2,1,950930368,1727703606,0.328493,166,43,11,11,0,0,0,4,11,0,0
9e-06,0,2,0,0,254,46222220.0,0.0,0,0,0,0,0.0,52,0,1,2,0,0,0,1,1,0,1
0.001924,0,4,4,304,31,1646569.625,948024.9375,0,0,0,0,0.0,132,76,3,3,0,0,0,3,7,0,0
1.005578,5,14,18,10168,31,12442.59473,76405.80469,3,4,2441752256,2442854765,0.000532,120,565,2,1,0,0,1,3,2,0,0
5e-06,0,2,0,0,254,150400000.0,0.0,0,0,0,0,0.0,94,0,1,1,0,0,0,2,1,0,1
0.874579,0,10,8,354,254,6229.282715,2835.650146,2,1,1160635392,2863752573,0.117548,76,44,3,1,0,0,0,1,6,0,1
1.107868,5,12,18,10168,31,10463.34082,69351.22656,3,5,4053613492,1909270899,0.000545,132,565,2,2,0,0,1,3,1,0,0
7e-06,2,2,0,0,254,65142856.0,0.0,0,0,0,0,0.0,57,0,14,4,0,0,0,5,14,0,1
0.008117,0,4,4,312,31,419859.5625,230627.0938,0,0,0,0,0.0,142,78,3,1,0,0,0,1,5,0,0
3.5e-05,2,2,0,0,254,13028571.0,0.0,0,0,0,0,0.0,57,0,14,7,0,0,0,8,14,0,1
9e-06,2,2,0,0,254,50666664.0,0.0,0,0,0,0,0.0,57,0,28,28,0,0,0,28,28,0,1
